Tanggal,Resi Retur,DN,Resi Original,SKU,IMEI,Sloc,Doc Sanggahan,Update Case,KETERANGAN,Doc Handover,NO HO,Link Video Sanggahan,Status,Nama Packer,Status Print,Tgl & Jam Packing,catatan
Tanggal,,Tidak ditemukan,JX3929722651,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,user klaim terima tidak sesuai,,Tidak ditemukan,102,https://drive.google.com/drive/folders/1bgorGhbCB2hfab1uUP3-1LjoWOkkTDD1?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
Tanggal,,Tidak ditemukan,JX5036719078,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,isi minyak wangi,,Tidak ditemukan,107, https://drive.google.com/file/d/1ryD2zFMHle2hcKXOhEoMLqWmB_2p9UqX/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
Tanggal,,Tidak ditemukan,JX3923090639,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,,,Tidak ditemukan,,,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
Tanggal,,Tidak ditemukan,JX5006886061,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,isi cctv bekas,,Tidak ditemukan,,https://drive.google.com/drive/folders/1EUmYgjWGdoWIk71eMtQYRQ0TmDU5q3Gn?usp=drive_link ,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
Tanggal,,Tidak ditemukan,SPXID056672789785,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,hanya box kosong,,Tidak ditemukan,,,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
Tanggal,,Tidak ditemukan,JX5016605608,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,hanya box kosong,,Tidak ditemukan,,,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
Tanggal,,Tidak ditemukan,JX5025064465,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,isi potongan kayu,,Tidak ditemukan,,,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
Tanggal,,Tidak ditemukan,JX3921623618,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,box penyok,,Tidak ditemukan,,,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
Tanggal,,Tidak ditemukan,JX5016605608,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,hanya box tanpa hp,,Tidak ditemukan,,,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
Tanggal,,Tidak ditemukan,JX5065209915,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,user terima lampu,,Tidak ditemukan,,,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
Tanggal,,Tidak ditemukan,JX3909254723,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,resi terscan di DP lain,,Tidak ditemukan,,,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
Tanggal,,Tidak ditemukan,JX5095246651,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,terima dokumen,,Tidak ditemukan,67,https://drive.google.com/file/d/1thug7U0ymxGwh_SFgxkJCa5hDI0xeh8O/view?usp=drive_link,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
Tanggal,,Tidak ditemukan,TG3514559394,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,,,Tidak ditemukan,,,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
Tanggal,,Tidak ditemukan,JX5191105293,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,user tidak terima barang,,Tidak ditemukan,,,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
Tanggal,,Tidak ditemukan,JX5110860341,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,bad unit tdk segel,,Tidak ditemukan,,,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
Tanggal,,Tidak ditemukan,JX5260579896,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,Resi diterima,,Tidak ditemukan,,,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
Tanggal,,Tidak ditemukan,JX5279105800,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,SN yang diterima,,Tidak ditemukan,,,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
Tanggal,,Tidak ditemukan,JX5331819153,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,bad unit tdk segel,,Tidak ditemukan,,D01_20250707164321.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
Tanggal,,Tidak ditemukan,JX5246185051,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,bad unit tdk segel,,Tidak ditemukan,,,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
Tanggal,,Tidak ditemukan,JX5449711360,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi jam tangan rusak,,Tidak ditemukan,378,D03_20250726162656.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
Tanggal,,Tidak ditemukan,TG3520434556,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi serutan pensil,,Tidak ditemukan,33,D01_20250712103545.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
Tanggal,,Tidak ditemukan,JX5383602339,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi paket alat tulis,,Tidak ditemukan,133,D01_20250716135833.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
